timestamp,imo,type,length,grossTonnage
3/5/2023 22:47,9248679,CS,212,28270
3/5/2023 22:48,9317963,CS,264,54309
3/5/2023 22:51,9364837,BC,,16949
3/5/2023 22:53,9711092,TA,91,2878
3/5/2023 23:02,9515163,TA,81,1971
3/5/2023 23:10,9407237,TA,58,499
3/5/2023 23:13,9783409,TA,216,43687
3/5/2023 23:51,9711860,TA,91,2882
4/5/2023 0:00,9532329,TA,90,2756
4/5/2023 0:27,9573173,TA,77,1602
4/5/2023 0:51,9373498,CS,184,18480
4/5/2023 0:59,9708796,CS,373,153148
4/5/2023 1:18,9825051,TA,114,5972
4/5/2023 1:33,9608063,TA,90,2818
4/5/2023 1:35,9711080,TA,91,2878
4/5/2023 1:39,9823742,CS,223,32828
4/5/2023 1:46,9680267,TA,92,2995
4/5/2023 1:49,9571117,TA,106,4855
4/5/2023 2:08,9288021,TA,192,30180
4/5/2023 2:11,9608049,TA,90,2818
4/5/2023 2:16,9704037,TA,56,397
4/5/2023 2:28,9131606,TA,79,1796
4/5/2023 2:29,9232400,CS,205,25371
4/5/2023 2:30,9480502,TA,127,8489
4/5/2023 2:35,9525819,TA,109,5219
4/5/2023 2:54,9588689,TA,86,2405
4/5/2023 3:19,9629990,TA,104,4557
4/5/2023 3:26,9487184,TA,243,61736
4/5/2023 3:36,9838826,TA,114,6011
4/5/2023 3:42,9352585,TA,140,11662
4/5/2023 3:51,9426805,CS,264,54182
4/5/2023 4:45,9675119,TA,92,2999
4/5/2023 5:00,9872377,CS,214,29116
4/5/2023 5:08,9272503,TA,187,28131
4/5/2023 5:48,9836804,TA,58,495
4/5/2023 6:02,9825037,TA,114,5972
4/5/2023 6:22,9129873,CS,243,42307
4/5/2023 6:42,9701944,TA,90,2795
4/5/2023 6:44,9542116,TA,63,710
4/5/2023 6:56,9774630,TA,58,495
4/5/2023 6:56,9867724,CS,182,17954
4/5/2023 7:07,9639385,TA,99,3829
4/5/2023 7:19,9676527,TA,192,30263
4/5/2023 7:30,9221085,CS,281,65531
4/5/2023 7:32,9172301,CS,172,15095
4/5/2023 7:34,9799666,TA,97,3605
4/5/2023 7:49,9536674,TA,100,3949
4/5/2023 7:53,9105968,CS,178,16800
4/5/2023 7:55,9310824,TA,102,4214
4/5/2023 7:55,9628790,TA,82,2067
4/5/2023 7:59,9821108,TA,83,2154
4/5/2023 8:20,9395159,CS,322,98747
4/5/2023 8:21,9759305,TA,58,498
4/5/2023 8:25,9908566,TA,114,6113
4/5/2023 8:37,9348443,CS,242,41835
4/5/2023 8:38,9441764,CS,161,12545
4/5/2023 8:54,9537238,TA,77,1589
4/5/2023 9:18,9825049,TA,114,5972
4/5/2023 9:41,9704049,TA,56,397
4/5/2023 9:50,9812664,TA,99,3898
4/5/2023 9:54,9558323,TA,88,2630
4/5/2023 9:59,9315862,CS,213,28592
4/5/2023 10:06,9412842,CS,180,17294
4/5/2023 10:08,9672313,TA,92,2993
4/5/2023 10:31,9635066,TA,102,4189
